,word,count
1,for,474
2,a,757
3,muse,18
4,of,1094
5,fire,22
6,that,785
7,would,138
8,ascend,1
9,the,1525
10,brightest,2
11,heaven,48
12,invention,9
13,kingdom,6
14,stage,3
15,princes,4
16,to,1196
17,act,35
18,and,1395
19,monarchs,2
20,behold,13
21,swelling,1
22,scene,34
23,then,132
24,should,102
25,warlike,4
26,harry,1
27,like,101
28,himself,23
29,assume,1
30,port,3
31,mars,12
32,at,131
33,his,434
34,heels,3
35,leash,1
37,in,787
38,hounds,2
39,famine,3
40,sword,17
41,crouch,1
42,employment,2
43,but,420
44,pardon,20
45,gentles,1
46,all,258
47,flat,1
48,unraised,1
49,spirits,7
50,have,329
51,dared,1
52,on,178
53,this,355
54,unworthy,5
55,scaffold,1
56,bring,32
57,forth,25
58,so,352
59,great,89
60,an,95
61,object,3
62,can,103
63,cockpit,1
64,hold,28
65,vasty,1
66,fields,3
67,france,50
68,or,196
69,may,108
70,we,189
71,cram,1
72,within,23
73,wooden,1
74,very,49
75,casques,1
76,did,110
77,affright,1
78,air,9
79,agincourt,1
80,since,46
81,crooked,4
82,figure,3
83,attest,1
84,little,18
85,place,24
86,million,2
87,let,112
88,us,78
89,ciphers,1
90,accompt,1
91,your,397
92,imaginary,3
93,forces,3
94,work,14
95,suppose,4
96,girdle,1
97,these,50
98,walls,3
99,are,217
100,now,128
101,confined,4
102,two,36
103,mighty,8
104,monarchies,1
105,whose,60
106,high,20
107,upreared,1
108,abutting,1
109,fronts,1
110,perilous,1
111,narrow,3
112,ocean,4
113,parts,13
114,asunder,1
115,piece,3
116,out,67
117,our,196
118,imperfections,1
119,with,445
120,thoughts,33
121,into,41
122,thousand,17
123,divide,4
124,man,71
125,make,117
126,puissance,1
127,think,70
128,when,197
129,talk,8
130,horses,6
131,you,749
132,see,83
133,them,88
134,printing,1
135,their,124
136,proud,20
137,hoofs,1
139,receiving,2
140,earth,20
141,tis,85
142,must,94
143,deck,1
144,kings,8
145,carry,7
146,here,82
147,there,112
148,jumping,1
149,er,48
150,times,16
151,turning,1
152,accomplishment,1
153,many,45
154,years,5
155,hour,19
156,glass,9
157,which,248
158,supply,1
159,admit,3
160,me,417
161,chorus,1
162,history,3
163,who,71
164,prologue,1
165,humble,9
166,patience,7
167,pray,33
168,gently,3
169,hear,51
170,kindly,3
171,judge,1
172,play,15
173,exit,34
174,london,1
175,ante,1
176,chamber,4
177,king,172
179,palace,19
180,enter,78
181,archbishop,2
182,canterbury,21
183,bishop,2
184,ely,14
185,my,858
186,lord,227
187,ll,89
188,tell,49
189,self,81
190,bill,3
191,is,557
192,urged,2
193,eleventh,1
194,year,13
195,last,13
196,reign,3
197,was,159
198,had,87
199,indeed,30
200,against,46
201,pass,12
202,scambling,1
203,unquiet,1
204,time,122
205,push,1
206,it,460
207,farther,7
208,question,11
209,how,104
210,shall,218
211,resist,1
212,be,399
213,thought,35
214,if,199
215,lose,29
